ID_Empleat,ID_Telefon
2001,1001
2002,1002
2003,1003
2004,1004
2005,1005
2006,1006
2007,1007
2008,1008
2009,1009
2010,1010
2011,1011
2012,1012
2013,1013
2014,1014
2015,1015
2016,1016
2017,1017
2018,1018
2019,1019
2020,1020
2021,1021
2022,1022
2023,1023
2024,1024
2025,1025
2026,1026
2027,1027
2028,1028
2029,1029
2030,1030
2031,1031
2032,1032
2033,1033
2034,1034
2035,1035
2036,1036
2037,1037
2038,1038
2039,1039
2040,1040
2041,1041
2042,1042
2043,1043
2044,1044
2045,1045
2046,1046
2047,1047
2048,1048
2049,1049
2050,1050
2051,1051
2052,1052
2053,1053
2054,1054
2055,1055
2056,1056
2057,1057
2058,1058
2059,1059
2060,1060
2061,1061
2062,1062
2063,1063
2064,1064
2065,1065
2066,1066
2067,1067
2068,1068
2069,1069
2070,1070
2071,1071
2072,1072
2073,1073
2074,1074
2075,1075
2076,1076
2077,1077
2078,1078
2079,1079
2080,1080
2081,1081
2082,1082
2083,1083
2084,1084
2085,1085
2086,1086
2087,1087
2088,1088
2089,1089
2090,1090
2091,1091
2092,1092
2093,1093
2094,1094
2095,1095
2096,1096
2097,1097
2098,1098
2099,1099
2100,1100
2101,1101
2102,1102
2103,1103
2104,1104
2105,1105
2106,1106
2107,1107
2108,1108
2109,1109
2110,1110
2111,1111
2112,1112
2113,1113
2114,1114
2115,1115
2116,1116
2117,1117
2118,1118
2119,1119
2120,1120
2121,1121
2122,1122
2123,1123
2124,1124
2125,1125
2126,1126
2127,1127
2128,1128
2129,1129
2130,1130
2131,1131
2132,1132
2133,1133
2134,1134
2135,1135
2136,1136
2137,1137
2138,1138
2139,1139
2140,1140
2141,1141
2142,1142
2143,1143
2144,1144
2145,1145
2146,1146
2147,1147
2148,1148
2149,1149
2150,1150
2151,1151
2152,1152
2153,1153
2154,1154
2155,1155
2156,1156
2157,1157
2158,1158
2159,1159
2160,1160
2161,1161
2162,1162
2163,1163
2164,1164
2165,1165
2166,1166
2167,1167
2168,1168
2169,1169
2170,1170
2171,1171
2172,1172
2173,1173
2174,1174
2175,1175
2176,1176
2177,1177
2178,1178
2179,1179
2180,1180
2181,1181
2182,1182
2183,1183
2184,1184
2185,1185
2186,1186
2187,1187
2188,1188
2189,1189
2190,1190
2191,1191
2192,1192
2193,1193
2194,1194
2195,1195
2196,1196
2197,1197
2198,1198
2199,1199
2200,1200
2201,1201
2202,1202
2203,1203
2204,1204
2205,1205
2206,1206
2207,1207
2208,1208
2209,1209
2210,1210
2211,1211
2212,1212
2213,1213
2214,1214
2215,1215
2216,1216
2217,1217
2218,1218
2219,1219
2220,1220
2221,1221
2222,1222
2223,1223
2224,1224
2225,1225
2226,1226
2227,1227
2228,1228
2229,1229
2230,1230
2231,1231
2232,1232
2233,1233
2234,1234
2235,1235
2236,1236
2237,1237
2238,1238
2239,1239
2240,1240
2241,1241
2242,1242
2243,1243
2244,1244
2245,1245
2246,1246
2247,1247
2248,1248
2249,1249
2250,1250
2251,1251
2252,1252
2253,1253
2254,1254
2255,1255
2256,1256
2257,1257
2258,1258
2259,1259
2260,1260
2261,1261
2262,1262
2263,1263
2264,1264
2265,1265
2266,1266
2267,1267
2268,1268
2269,1269
2270,1270
2271,1271
2272,1272
2273,1273
2274,1274
2275,1275
2276,1276
2277,1277
2278,1278
2279,1279
2280,1280
2281,1281
2282,1282
2283,1283
2284,1284
2285,1285
2286,1286
2287,1287
2288,1288
2289,1289
2290,1290
2291,1291
2292,1292
2293,1293
2294,1294
2295,1295
2296,1296
2297,1297
2298,1298
2299,1299
2300,1300
