data_naixement,ID_Localitzacio
1965-10-28,1001
1988-03-10,1002
1967-12-21,1003
1992-03-10,1004
1981-11-14,1005
1986-12-19,1006
1996-01-24,1007
1995-06-09,1008
1974-12-19,1009
1980-09-01,1010
1957-06-08,1011
1963-05-19,1012
1970-06-13,1013
1963-09-01,1014
1996-08-31,1015
1963-08-06,1016
1953-10-09,1017
1998-06-05,1018
1987-06-18,1019
1983-02-22,1020
1960-12-27,1021
1992-03-06,1022
1960-01-11,1023
1976-02-16,1024
1974-10-14,1025
1977-07-11,1026
1954-08-17,1027
1962-09-12,1028
1978-12-15,1029
1954-03-02,1030
1997-12-10,1031
1981-09-19,1032
1994-04-19,1033
2004-06-25,1034
1961-04-15,1035
1979-05-07,1036
1966-02-14,1037
1978-12-11,1038
1964-12-08,1039
1999-10-05,1040
1981-06-20,1041
1970-09-28,1042
1961-11-30,1043
1952-02-08,1044
1967-01-11,1045
1963-04-29,1046
2002-07-20,1047
1985-12-15,1048
1967-08-21,1049
1951-09-10,1050
1978-06-01,1051
1974-12-19,1052
1977-05-27,1053
1966-05-20,1054
1968-11-21,1055
1988-02-23,1056
1991-04-20,1057
1950-04-01,1058
1998-07-15,1059
1965-04-29,1060
1991-03-02,1061
1966-06-16,1062
1955-10-26,1063
1960-06-04,1064
1994-05-19,1065
1993-11-01,1066
1985-09-08,1067
2002-02-09,1068
1999-10-29,1069
1959-10-16,1070
1995-03-05,1071
1975-02-13,1072
1992-03-27,1073
1998-11-16,1074
1991-11-29,1075
1956-08-07,1076
1957-08-11,1077
1958-06-16,1078
1996-12-17,1079
1996-06-11,1080
1979-05-12,1081
1960-11-09,1082
1973-09-15,1083
1972-10-08,1084
1998-04-25,1085
1985-09-25,1086
1986-12-31,1087
1975-02-17,1088
1999-04-12,1089
1955-10-22,1090
1975-09-03,1091
1994-05-30,1092
1986-09-11,1093
2000-04-13,1094
1975-07-07,1095
1951-01-20,1096
1998-12-05,1097
1960-06-02,1098
1951-01-05,1099
1973-05-11,1100
2003-03-19,1101
1995-12-05,1102
1967-06-07,1103
1994-07-15,1104
2004-07-22,1105
1997-06-14,1106
2001-08-26,1107
1955-06-13,1108
1995-02-08,1109
1970-08-08,1110
1969-08-23,1111
1965-04-25,1112
1951-05-26,1113
1973-03-28,1114
1999-01-29,1115
2000-09-21,1116
1961-04-16,1117
1965-12-15,1118
2002-11-18,1119
1980-07-24,1120
1975-01-31,1121
1961-07-30,1122
1985-01-20,1123
