ID_Article,preu,descompte
1001,376.86,26
1002,32.81,68
1003,668.2,62
1004,424.68,23
1005,400.89,7
1006,43.09,69
1007,216.37,6
1008,949.9,26
1009,799.87,1
1010,546.23,11
1011,344.14,70
1012,135.34,49
1013,825.16,22
1014,25.46,61
1015,130.65,68
1016,675.55,3
1017,433.5,51
1018,936.13,31
1019,620.62,36
1020,791.78,51
1021,614.15,6
1022,94.01,36
1023,589.73,69
1024,368.21,55
1025,206.08,5
1026,326.28,9
1027,278.72,18
1028,848.07,25
1029,424.75,73
1030,920.01,1
1031,741.82,45
1032,888.4,61
1033,488.82,3
1034,999.02,41
1035,425.74,22
1036,243.04,17
1037,622.14,7
1038,947.55,52
1039,849.12,48
1040,48.2,69
1041,256.79,5
1042,680.79,1
1043,18.31,60
1044,273.69,57
1045,324.55,58
1046,819.24,53
1047,493.4,10
1048,135.31,74
1049,881.13,12
1050,566.91,63
1051,820.3,61
1052,107.53,15
1053,195.74,37
1054,218.44,45
1055,651.56,16
1056,804.05,62
1057,15.26,29
1058,434.88,19
1059,697.61,63
1060,297.97,51
1061,191.84,32
1062,827.15,65
1063,415.89,28
1064,289.67,61
1065,321.96,2
1066,160.43,52
1067,489.77,38
1068,254.67,62
1069,275.29,18
1070,17.31,19
1071,456.96,35
1072,879.91,39
1073,227.68,3
1074,75.55,3
1075,733.61,49
1076,578.84,41
1077,677.66,1
1078,678.16,6
1079,628.81,26
1080,131.83,68
1081,314.48,41
1082,618.8,41
1083,327.46,37
1084,809.14,37
1085,852.17,61
1086,298.23,65
1087,793.87,75
1088,498.59,66
1089,491.28,53
1090,196.6,2
1091,96.65,13
1092,427.58,58
1093,460.12,52
1094,845.18,31
1095,664.15,63
1096,945.11,47
1097,510.12,71
1098,261.97,62
1099,259.28,29
1100,436.66,62
1101,346.83,73
1102,70.78,6
1103,119.46,58
1104,640.1,64
1105,162.73,56
1106,301.73,69
1107,431.35,52
1108,147.52,42
1109,714.07,27
1110,496.73,62
1111,526.71,21
1112,68.24,17
1113,661.8,36
1114,576.88,53
1115,577.32,43
1116,583.81,25
1117,453.6,75
1118,816.32,59
1119,385.67,11
1120,41.16,50
1121,316.77,44
1122,444.3,66
1123,976.88,51
1124,93.86,67
1125,472.85,26
1126,99.29,63
1127,38.43,28
1128,429.85,15
1129,488.61,58
1130,266.75,36
1131,566.95,40
1132,233.53,17
1133,665.35,72
1134,850.21,31
1135,957.7,40
1136,305.46,29
1137,853.74,75
1138,418.86,35
1139,468.23,65
1140,520.22,54
1141,679.57,60
1142,456.57,2
1143,215.38,33
1144,300.76,2
1145,516.02,64
1146,421.64,10
1147,325.24,70
1148,208.4,25
1149,195.29,68
1150,737.57,25
1151,3.7,46
1152,219.81,10
1153,401.2,23
1154,862.76,52
1155,961.52,43
1156,952.36,3
1157,64.14,10
1158,924.94,40
1159,171.47,12
1160,88.39,70
1161,472.98,6
1162,994.84,13
1163,856.35,8
1164,967.67,64
1165,637.58,32
1166,904.91,71
1167,838.92,75
1168,906.38,56
1169,727.82,9
1170,552.35,60
1171,778.45,6
1172,757.4,66
1173,214.7,73
1174,211.84,70
1175,171.93,11
1176,660.22,42
1177,302.47,44
1178,116.18,8
1179,783.51,73
1180,338.5,15
1181,387.66,14
1182,57.12,50
1183,576.09,45
1184,358.22,34
1185,732.69,2
1186,611.42,38
1187,137.9,68
1188,76.41,26
1189,385.73,72
1190,944.66,18
1191,437.99,37
1192,481.51,29
1193,602.82,34
1194,292.58,22
1195,940.06,10
1196,290.85,4
1197,743.8,69
1198,10.98,66
1199,369.66,12
1200,303.47,4
1201,608.93,34
1202,608.29,26
1203,299.29,8
1204,116.03,2
1205,218.45,10
1206,839.91,60
1207,590.08,26
1208,972.21,24
1209,162.01,6
1210,881.49,28
1211,297.37,50
1212,861.66,56
1213,14.23,63
1214,292.78,19
1215,838.66,64
1216,428.39,26
1217,980.8,3
1218,629.62,48
1219,332.18,36
1220,995.04,56
1221,54.2,48
1222,921.45,27
1223,346.3,3
1224,625.5,25
1225,603.16,36
1226,577.69,13
1227,592.23,65
1228,721.71,12
1229,472.61,58
1230,431.47,31
1231,175.0,11
1232,509.04,16
1233,444.84,24
1234,419.66,30
1235,715.48,30
1236,518.06,25
1237,651.78,70
1238,43.17,24
1239,545.39,43
1240,376.93,27
1241,201.61,56
1242,661.55,55
1243,239.35,54
1244,486.02,30
1245,805.5,32
1246,163.6,65
1247,766.62,21
1248,709.64,42
1249,452.31,22
1250,53.12,29
1251,911.7,63
1252,317.93,73
1253,456.81,72
1254,745.47,62
1255,493.68,68
1256,620.57,63
1257,526.25,61
1258,411.34,31
1259,297.35,44
1260,969.76,5
1261,1.37,52
1262,732.05,23
1263,53.84,58
1264,561.38,72
1265,821.57,14
1266,211.05,40
1267,384.7,24
1268,79.76,41
1269,129.65,23
1270,357.43,17
1271,818.87,9
1272,885.35,65
1273,32.7,20
1274,615.76,60
1275,21.02,27
1276,808.69,53
1277,222.17,31
1278,943.6,60
1279,987.36,73
1280,94.81,7
1281,934.59,7
1282,643.86,59
1283,416.57,46
1284,74.44,39
1285,803.47,68
1286,422.36,9
1287,12.85,65
1288,259.61,6
1289,321.49,63
1290,248.08,56
1291,943.37,35
1292,319.48,17
1293,550.93,37
1294,97.56,27
1295,152.74,17
1296,352.78,74
1297,932.57,51
1298,748.59,66
1299,561.49,27
1300,457.06,22
1301,328.17,31
1302,710.48,70
1303,894.77,49
1304,84.51,74
1305,764.4,64
1306,466.22,19
1307,939.24,43
1308,878.08,33
1309,723.07,26
1310,680.65,60
1311,68.09,74
1312,331.72,7
1313,493.8,46
1314,690.93,68
1315,518.24,67
1316,863.17,9
1317,962.2,32
1318,232.01,8
1319,438.64,5
1320,757.85,20
1321,17.86,66
1322,495.58,59
1323,886.58,45
1324,670.06,24
1325,786.03,48
1326,577.4,12
1327,806.07,35
1328,59.98,51
1329,951.18,18
1330,929.15,25
1331,88.06,37
1332,823.14,67
1333,416.93,5
1334,799.09,58
1335,475.35,20
1336,554.9,63
1337,130.73,64
1338,787.52,44
1339,430.54,23
1340,740.11,5
1341,465.92,63
1342,264.94,44
1343,137.71,36
1344,197.43,74
1345,313.5,46
1346,300.86,69
1347,882.54,61
1348,4.07,54
1349,57.45,68
1350,749.27,42
1351,255.7,3
1352,365.51,38
1353,791.28,33
1354,948.25,18
1355,551.72,24
1356,623.7,9
1357,431.07,51
1358,20.8,67
1359,49.94,58
1360,649.85,64
1361,168.26,50
1362,917.47,31
1363,621.55,11
1364,295.49,56
1365,112.25,22
1366,263.84,31
1367,966.46,2
1368,274.82,46
1369,573.29,34
1370,233.23,53
1371,90.84,4
1372,898.94,62
1373,951.51,3
1374,435.27,7
1375,792.27,2
1376,202.53,62
1377,872.87,5
1378,598.07,58
1379,50.23,65
1380,817.89,7
1381,851.67,38
1382,369.94,29
1383,186.92,41
1384,57.44,18
1385,939.26,63
1386,700.15,67
1387,344.21,31
1388,830.54,11
1389,386.92,39
1390,467.65,21
1391,783.8,36
1392,54.38,14
1393,435.26,2
1394,340.13,37
1395,908.25,65
1396,724.76,44
1397,80.99,61
1398,791.05,33
1399,90.34,10
1400,343.93,4
1401,801.84,41
1402,983.38,45
1403,514.15,42
1404,205.77,59
1405,849.53,48
1406,461.16,67
1407,471.71,10
1408,600.59,21
1409,468.54,51
1410,881.26,21
1411,55.74,61
1412,36.83,67
1413,981.69,37
1414,967.63,10
1415,836.98,72
1416,598.23,24
1417,190.95,24
1418,966.57,56
1419,193.05,58
1420,305.61,75
1421,873.31,30
1422,306.09,7
1423,595.06,58
1424,14.71,62
1425,574.01,16
1426,914.72,35
1427,46.47,49
1428,957.74,44
1429,937.77,20
1430,783.86,14
1431,200.57,59
1432,290.1,44
1433,393.9,13
1434,741.61,69
1435,811.72,45
1436,935.54,71
1437,756.43,42
1438,947.78,43
1439,148.79,74
1440,159.77,55
1441,145.59,2
1442,458.51,59
1443,71.79,14
1444,348.69,3
1445,897.71,39
1446,979.52,41
1447,588.0,7
1448,260.87,39
1449,425.55,19
1450,225.32,75
1451,37.98,38
1452,643.27,17
1453,555.14,65
1454,536.18,45
1455,971.11,48
1456,187.61,1
1457,687.54,2
1458,283.69,23
1459,259.44,44
1460,558.86,58
1461,899.21,67
1462,582.17,2
1463,513.0,13
1464,118.59,7
1465,702.14,1
1466,403.79,73
1467,221.8,31
1468,397.02,47
1469,953.85,67
1470,789.21,10
1471,67.0,4
1472,277.18,52
1473,159.91,23
1474,873.76,38
