ID_Article,preu,descompte
1,468.29,41
2,539.34,24
3,858.14,39
4,381.69,14
5,227.34,65
6,554.68,36
7,46.12,5
8,892.42,50
9,727.12,65
10,598.11,39
11,486.04,24
12,369.31,10
13,791.78,17
14,941.3,9
15,573.39,47
16,556.82,16
17,307.47,14
18,672.92,27
19,778.71,64
20,704.71,11
21,324.45,63
22,433.87,4
23,268.38,44
24,321.09,8
25,644.77,12
26,260.55,56
27,477.49,18
28,297.56,73
29,853.75,7
30,200.89,56
31,452.08,36
32,989.49,43
33,138.94,25
34,607.34,68
35,355.04,72
36,642.55,14
37,477.48,32
38,51.36,43
39,594.86,11
40,649.04,75
41,631.94,58
42,423.93,37
43,979.52,47
44,955.8,2
45,144.35,70
46,626.24,65
47,463.6,11
48,697.47,43
49,685.47,26
50,379.65,49
51,900.18,29
52,8.45,11
53,911.34,11
54,330.74,67
55,967.07,55
56,303.79,58
57,745.21,67
58,418.09,5
59,704.85,66
60,255.71,38
61,799.42,47
62,246.21,17
63,832.05,47
64,386.5,20
65,818.18,31
66,570.22,75
67,743.43,1
68,67.13,5
69,151.34,29
70,317.89,75
71,992.69,41
72,535.39,40
73,870.27,34
74,740.51,2
75,875.22,57
76,77.0,47
77,253.32,37
78,596.22,66
79,461.58,67
80,763.2,28
81,85.89,20
82,89.76,55
83,171.67,5
84,170.24,26
85,943.29,19
86,958.96,33
87,546.28,68
88,490.63,69
89,35.86,66
90,378.53,36
91,118.42,59
92,749.93,61
93,877.12,55
94,735.6,52
95,364.0,12
96,84.6,29
97,623.48,3
98,8.98,73
99,638.54,75
100,621.8,11
101,374.98,53
102,985.03,46
103,752.38,62
104,571.53,26
105,594.43,13
106,511.28,31
107,714.55,4
108,253.43,51
109,818.14,67
110,980.77,34
111,717.86,31
112,231.77,25
113,265.32,1
114,104.67,29
115,806.17,70
116,356.22,56
117,975.36,22
118,625.2,58
119,597.14,13
120,134.65,2
121,195.39,72
122,964.91,72
123,190.83,71
124,888.1,53
125,854.27,61
126,526.9,50
127,498.28,43
128,8.56,13
129,889.07,28
130,160.53,56
