ID_Empleat,titol_treball,dies_vacances,dies_malalties,ID_Sou,ID_Departament,ID_Horari
2001,Graphic Designer,31,11,28,11,27
2002,Human Resources Manager,25,3,17,6,28
2003,Legal Assistant,10,22,10,11,35
2004,Database Administrator IV,24,4,49,2,26
2005,Recruiting Manager,33,22,9,10,50
2006,Director of Sales,38,3,37,8,45
2007,Structural Analysis Engineer,28,29,4,6,14
2008,Financial Analyst,38,0,17,5,44
2009,Chief Design Engineer,18,25,16,7,10
2010,Dental Hygienist,11,6,46,2,32
2011,Media Manager IV,38,27,43,12,43
2012,Nuclear Power Engineer,13,10,49,4,21
2013,Web Designer IV,15,4,39,9,8
2014,Actuary,31,5,2,11,8
2015,Social Worker,29,14,19,3,18
2016,VP Product Management,15,24,6,1,40
2017,GIS Technical Architect,10,16,9,6,25
2018,Computer Systems Analyst III,32,11,46,6,2
2019,Software Consultant,22,20,25,7,26
2020,Junior Executive,18,14,36,1,50
2021,Director of Sales,17,13,25,4,41
2022,Graphic Designer,29,29,15,5,4
2023,Registered Nurse,19,8,30,1,36
2024,Senior Editor,17,3,44,1,6
2025,Structural Analysis Engineer,34,0,23,9,33
2026,Assistant Media Planner,33,16,47,2,11
2027,Systems Administrator IV,18,27,17,9,34
2028,Director of Sales,17,16,43,7,12
2029,Nuclear Power Engineer,13,4,31,6,4
2030,Computer Systems Analyst II,29,13,29,2,19
2031,Human Resources Assistant III,25,8,7,1,31
2032,Assistant Professor,15,6,23,1,47
2033,Paralegal,14,23,36,10,10
2034,Graphic Designer,13,15,50,2,12
2035,Engineer III,10,13,25,11,15
2036,Staff Accountant II,37,3,37,10,38
2037,Database Administrator III,30,12,44,12,32
2038,Financial Analyst,35,10,37,3,39
2039,Database Administrator III,33,22,38,12,21
2040,Marketing Assistant,34,14,35,10,19
2041,Project Manager,10,16,19,2,19
2042,Legal Assistant,20,16,8,6,17
2043,Senior Sales Associate,15,18,39,6,3
2044,Food Chemist,21,11,12,2,46
2045,VP Product Management,33,13,40,11,35
2046,Structural Analysis Engineer,17,11,17,6,14
2047,Engineer III,15,28,19,6,6
2048,Software Consultant,30,29,14,4,4
2049,Actuary,24,2,31,7,43
2050,Registered Nurse,18,19,40,8,16
2051,Occupational Therapist,14,25,31,8,48
2052,Staff Accountant IV,15,13,18,12,8
2053,Human Resources Assistant I,11,8,35,6,34
2054,Research Nurse,38,19,26,12,48
2055,Senior Sales Associate,26,2,48,7,14
2056,VP Sales,10,29,34,12,26
2057,Occupational Therapist,23,16,28,5,23
2058,Research Associate,16,22,35,12,21
2059,Programmer Analyst I,37,25,22,12,42
2060,Payment Adjustment Coordinator,26,0,21,5,30
2061,Junior Executive,13,1,43,2,1
2062,Safety Technician IV,37,0,21,2,22
2063,VP Sales,27,0,33,12,26
2064,Operator,36,26,30,10,36
2065,Developer IV,33,23,26,2,46
2066,Automation Specialist III,28,6,27,7,16
2067,Structural Analysis Engineer,21,21,45,1,45
2068,Nurse Practicioner,20,4,29,5,6
2069,Programmer Analyst III,18,11,15,1,12
2070,Structural Engineer,31,19,12,12,46
2071,Chief Design Engineer,33,13,14,10,31
2072,Structural Engineer,13,21,48,8,16
2073,Design Engineer,20,29,8,12,50
2074,Technical Writer,17,20,24,1,23
2075,Analog Circuit Design manager,12,6,12,8,21
2076,VP Accounting,22,30,38,7,28
2077,Programmer Analyst IV,14,19,44,5,4
2078,Electrical Engineer,36,12,40,2,36
2079,Financial Analyst,16,7,50,1,31
2080,Structural Analysis Engineer,38,1,28,6,46
2081,Pharmacist,26,18,22,1,38
2082,Graphic Designer,38,10,13,2,32
2083,General Manager,13,21,12,2,50
2084,Web Designer IV,11,29,3,8,41
2085,Geologist III,19,8,44,3,23
2086,Health Coach I,12,9,1,6,4
2087,Senior Cost Accountant,35,17,22,1,31
2088,Software Test Engineer III,11,10,41,1,4
2089,Financial Analyst,15,30,8,8,4
2090,VP Accounting,31,9,35,4,47
2091,Statistician IV,25,19,6,3,22
2092,Human Resources Manager,25,2,46,4,30
2093,Computer Systems Analyst III,18,9,28,4,13
2094,Speech Pathologist,16,1,18,7,37
2095,Database Administrator II,32,23,5,1,21
2096,Junior Executive,33,22,23,2,43
2097,Software Engineer II,25,25,44,1,14
2098,Technical Writer,40,27,48,7,5
2099,Assistant Professor,15,3,30,4,44
2100,Business Systems Development Analyst,32,3,4,3,9
2101,Structural Engineer,30,4,22,10,3
2102,Senior Quality Engineer,12,8,22,10,15
2103,Environmental Tech,22,6,42,9,33
2104,Data Coordiator,15,25,47,11,21
2105,Sales Associate,20,7,40,3,7
2106,Paralegal,26,25,39,10,50
2107,Food Chemist,13,1,29,11,42
2108,Analyst Programmer,10,4,22,1,50
2109,Environmental Specialist,13,16,32,10,35
2110,Marketing Manager,38,11,22,8,2
2111,Editor,26,20,45,2,44
2112,VP Quality Control,28,27,24,6,38
2113,Operator,12,17,44,6,4
2114,Junior Executive,19,18,2,1,26
2115,Analyst Programmer,12,22,43,9,17
2116,Desktop Support Technician,33,12,13,7,48
2117,Office Assistant III,40,12,8,11,35
2118,Dental Hygienist,15,14,30,11,2
2119,Biostatistician I,40,15,33,12,38
2120,Project Manager,24,1,3,12,49
2121,Paralegal,17,6,9,1,1
2122,Business Systems Development Analyst,29,23,3,11,32
2123,Paralegal,22,20,22,7,40
2124,Associate Professor,14,20,44,8,46
2125,Administrative Assistant IV,32,6,39,1,47
2126,Sales Representative,23,8,50,6,13
2127,Data Coordiator,12,6,28,7,18
2128,Marketing Assistant,23,23,33,4,17
2129,VP Quality Control,35,4,11,9,31
2130,Computer Systems Analyst IV,24,26,26,10,27
2131,Human Resources Assistant II,14,7,11,8,11
2132,Paralegal,12,12,38,1,39
2133,Web Developer IV,11,9,24,11,5
2134,Database Administrator II,37,18,41,10,21
2135,Web Developer II,22,28,17,8,10
2136,Account Representative I,36,9,1,12,50
2137,Executive Secretary,35,24,20,4,44
2138,Safety Technician III,19,4,37,5,24
2139,Desktop Support Technician,25,27,36,1,46
2140,Account Representative II,30,0,17,9,1
2141,Analyst Programmer,15,16,16,12,3
2142,Marketing Assistant,39,29,43,6,47
2143,VP Accounting,20,30,20,10,3
2144,Information Systems Manager,38,3,8,12,1
2145,Web Developer I,35,29,25,3,38
2146,Nurse,11,9,42,5,18
2147,VP Marketing,13,2,30,8,14
2148,Librarian,29,22,11,9,45
2149,Senior Financial Analyst,11,27,15,2,6
2150,Marketing Assistant,13,18,4,4,31
2151,Actuary,20,23,12,2,7
2152,Senior Quality Engineer,14,16,22,4,17
2153,Librarian,31,6,2,6,36
2154,Recruiting Manager,39,17,13,4,49
2155,Librarian,38,5,5,11,16
